Country,1835.0,1836.0,1837.0,1838.0,1839.0,1840.0,1841.0,1842.0,1843.0,1844.0,1845.0,1846.0,1847.0,1848.0,1849.0,1850.0,1851.0,1852.0,1853.0,1854.0,1855.0,1856.0,1857.0,1858.0,1859.0,1860.0,1861.0,1862.0,1863.0,1864.0,1865.0,1866.0,1867.0,1868.0,1869.0,1870.0,1871.0,1872.0,1873.0,1874.0,1875.0,1876.0,1877.0,1878.0,1879.0,1880.0,1881.0,1882.0,1883.0,1884.0,1885.0,1886.0,1887.0,1888.0,1889.0,1890.0,1891.0,1892.0,1893.0,1894.0,1895.0,1896.0,1897.0,1898.0,1899.0,1900.0,1901.0,1902.0,1903.0,1904.0,1905.0,1906.0,1907.0,1908.0,1909.0,1910.0,1911.0,1912.0,1913.0,1914.0,1915.0,1916.0,1917.0,1918.0,1919.0,1920.0,1921.0,1922.0,1923.0,1924.0,1925.0,1926.0,1927.0,1928.0,1929.0,1930.0,1931.0,1932.0,1933.0,1934.0,1935.0,1936.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,216,282,278,292,366,262,393,413,443,340,361,430,386,231,215,320,332,348,448,"15,498","41,710","34,248","62,844","11,466","12,873","18,331","25,174","12,131","10,288","12,010","9,962","8,189","20,394","39,502","37,817","12,661","14,776","51,844","64,380","68,063","29,183","67,640","70,736","160,291","293,811","722,057","783,881","753,714","897,979","812,987","818,367","1,104,209","1,228,229","1,206,927","1,047,018","1,083,045","1,228,066","939,734","590,531","449,634","633,652","881,443","753,057","860,344","846,583","521,655","370,809","444,692","618,931","668,607","517,486","576,454","592,336","689,344","618,279","800,303","923,130","924,965","760,955","686,994","840,319","848,499","1,044,248","592,231","610,360","538,960","540,126","796,124","810,944","910,294","855,220","1,054,336","1,048,209","1,197,671","1,202,800","1,282,859","1,560,040","1,360,057","1,718,779","1,246,739","1,235,181","1,208,012","1,224,464","1,607,835","1,477,740","955,220","1,015,120","459,580",250,490,"75,860","928,200","646,300","989,400","1,030,300","1,203,400","1,009,900","1,175,800","1,182,500","1,526,400","1,867,700","1,453,900","1,847,600","1,993,100","1,546,000","1,671,100","1,493,984","1,680,935","975,671","1,148,415","911,272","995,435","488,035","398,979","611,565","1,016,975","516,766","853,433","867,019","577,682","919,025","698,131","639,804","745,824","848,602","667,092","777,707","752,694","538,151","578,313","685,876","403,759","416,406","553,131","569,267","450,408","541,403","583,215","576,479","681,295","600,029","499,083","541,777","546,916","561,027","435,013","511,113","452,827","469,583","472,765","544,451","528,685","526,227","570,018","576,715","583,690","684,113","598,962","532,186","665,867","744,363","790,000","750,000",700000,"720,000",0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,120","18,577","28,062","22,069","20,394","16,843","9,962","12,077","7,482","5,813","4,240","15,264","11,429","5,420","7,244","10,029","4,201","2,918","3,084","3,705","5,996","4,585","11,506","31,507","25,585","13,522","3,857","1,540","1,619","1,017",930,"2,389","5,684","10,565","12,301","20,715","7,853","14,163","12,665","18,512","13,492","12,428","6,766","2,641","3,204","4,199","1,742","1,569","1,617","2,599","4,860","3,314","1,559",592,"1,872",470,261,578,"1,155",642,"1,232",724,"2,437","1,526","1,254","2,545","1,753","2,540","2,970","2,882","2,063","2,156","3,266","5,349","2,197","2,035","1,962",863,487,657,230,164,0,0,87,118,58,"5,324","3,961","5,889","4,966","5,013","5,185","5,137","6,024","6,044","4,744","4,356","4,567","4,937","5,750","7,580","8,313","7,198","10,128","11,092","13,400","21,550","18,000","33,800","28,800","112,000","47,000","20,000","21,100","23,500","23,200","22,500","19,500","17,700","14,400","17,100","14,600","68,900","59,600","57,000","37,200","87,600","73,100","78,400","72,300","45,800","31,400","29,700","34,900","70,400","107,200","53,600","64,973","74,604","98,086","153,213","165,486","175,473","156,738","177,148","184,032","144,902","150,073","230,022","267,858","255,425","257,452","277,950","170,339","207,685",407472,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,61,54,61,51,62,100,76,85,83,89,72,114,273,127,106,105,0,0,66,88,81,95,124,83,73,49,24,28,26,25,27,25,22,27,33,30,38,38,44,39,41,33,37,37,34,34,37,27,19,26,30,21,36,25,0,0,0,32,117,106,53,32,65,65,42,28,30,30,230,30,40,40,40,30,30,20,30,20,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,65,81,98,105,115,106,116,103,154,167,186,246,166,42,21,55,36,60,62,78,84,40,60,30,256,296,642,"181,461","21,111","2,632","2,291","20,414","135,360","75,582","51,158","41,627","147,905","217,562","188,635","161,383","125,860","120,837","156,691","139,658","89,785","125,295","139,881","160,308","145,662","133,718","125,943","152,525","232,399","216,000","179,000","152,244",184307,"290,000",0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,75,70,40,53,32,82,232,"9,871","1,949",269,"1,432","1,592",893,"8,976","15,256","10,273","2,343","4,987","1,046","4,721",205,274,290,197,234,324,353,334,473,533,666,688,878,"2,286",923,"2,218","3,251","1,889","2,195","2,390","1,710","1,418",927,214,249,263,244,223,138,225,235,290,308,256,239,254,284,257,241,255,281,307,314,292,220,241,298,380,342,365,577,203,190,309,283,285,358,367,223,249,98,38,44,98,60,26,0,0,0,0,3,1,3,1,1,2,12,10,1,27,25,19,26,130,47,36,51,60,81,32,67,92,80,102,141,252,297,405,454,555,552,461,"16,089","83,154",574,713,990,"1,051","2,158",844,741,"1,244","1,490","2,149","1,804","4,068","4,990","7,146","6,778","4,504","4,271","14,134","7,778",560,"50,649","139,265","113,700","14,702","89,658","11,518","12,037","4,044","22,441","2,524","3,928","2,953","4,127","3,789","66,873","39,683","47,700","56,600","194,400","60,700","50,521","71,706","77,251","80,000",100000,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,"22,510",0,"21,544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,206","5,206","8,813","7,988","6,194","6,243","10,688","3,443","4,059","4,091","5,875","14,041","19,396","12,871","9,113","10,620","9,116","9,236","8,545","10,658","2,986","3,020","3,941","4,187","3,919","3,034","2,468","2,178","2,571","2,342","4,009","5,136","53,026","122,214","91,411","81,293","88,858","144,059","142,000","140,000","138,000","136,000","134,000","132,000","130,000","128,000","126,000","124,000","122,000","120,000","118,000","116,000","114,000","112,000","110,000","108,000","106,000","104,000","102,000","100,000","101,323","89,013","91,291","13,385","37,923","31,057","32,735","42,888","48,210","42,457","37,285","28,206","17,090","6,540","4,860","6,450","6,690","5,900","6,550",0,0,0,0,0,0,0,100,"1,100","4,000","4,300","5,200","3,500","5,700","7,800","9,000","8,900","16,900","37,200","17,100","14,700","43,600","50,679","28,839","51,982","26,858","24,237","45,820","46,698","34,548","24,097","22,758","25,585","45,567","54,462","49,814","86,430","39,975","26,444","23,253","21,108","22,379","29,911","33,337","20,262","19,606","24,780","25,320","36,710","35,721","25,166","24,337","22,432","21,488","19,729","17,761","26,239","29,864","59,569","60,542","52,441","48,737","59,246","51,918","53,448","64,615","67,568","72,919","77,041","63,966","62,238","74,835","83,413","79,225","78,391","74,826","71,570","79,784","79,607",80000,0,0,0,0,0,0,0,0,0,0,0,0
Bel-Lux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,800","19,800","19,800","19,800","19,800","18,300","19,200","20,200","20,400","21,500","25,000","23,800","21,100","24,700","26,400","30,600","25,800","26,100","28,200","33,449","21,968","23,582","27,496","25,611","30,625","35,440","32,188","25,741","33,775","47,252","19,954","29,616","35,340","17,388","11,354","4,482","5,013","1,731","50,368","47,543","45,200","50,940","54,710","65,460","50,085","63,512","43,285","41,580","44,893","40,973","35,020","28,671","27,430","25,280","32,480","33,840","40,990","39,440","30,200","15,470","19,240","10,440","17,910","6,820","13,970","40,600","31,600","39,200","43,700","46,700","47,500","49,800","48,300","54,300","56,000","61,300","66,000","58,700","61,300","68,900","70,941","67,292","74,820","80,094","96,555","88,054","93,792","103,601","114,552","128,193","121,444","135,418","135,483","135,310","148,207","134,148","160,184","159,562","182,006","182,505","187,115","188,175","199,001","191,380","201,156","187,552","209,286","201,732","199,541","215,544","211,782","223,058","229,363","222,068","229,924","218,009","228,273","252,044","241,924","274,775","263,789","297,221","286,650","299,763","301,384","320,087","329,469","331,220","325,891","301,159","330,916","334,287","335,014","347,510","328,490","310,000","328,459","304,021","310,000",0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,362","3,392","3,419","3,456","3,498","3,541","3,579","3,611","3,642","3,670","3,698","3,723","3,750","3,800","3,700","4,000",400,"4,200","4,400","4,400","4,100","4,200","4,000","3,900","3,800","3,800","4,100","6,400","2,600","3,600","3,800","3,800","3,820","2,734","3,977","5,946",280,"7,409","3,800","3,900","3,240","5,230","5,070","4,230","4,665","5,225","4,446","4,594","5,403","6,217","5,721","3,621","3,970","4,800","5,610","5,090","5,760","6,010","6,680","5,310","1,450","1,450",920,460,510,"2,900","2,500","3,900","7,600","5,800","7,800","6,000","8,900","10,300","9,700","9,200","10,000","10,800","11,300","12,400","12,403","13,042","12,454","14,686","16,989","17,942","18,404","18,522","22,010","26,859","28,885","32,444","52,840","38,225","50,798","59,558","56,555","58,629","64,801","65,177","75,115","83,761","88,866","93,231","102,114","99,358","103,781","108,466","101,857","110,862","117,953","126,617","115,531","121,970","129,763","147,334","168,261","169,889","167,663","179,398","202,870","200,842","205,052","200,594","185,181","185,749","186,760","182,872","189,458","195,825","194,028","190,240","202,792","196,576","193,019","191,850","190,000","184,421",0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,104,258,289,226,105,108,102,"1,184",510,650,900,"1,040","1,690","1,780","1,210","1,090",490,"1,110","1,570",710,730,200,300,500,800,"1,100","3,000","3,600","3,500","4,800",900,"6,200","5,700","2,400","2,200","2,900","3,350","3,758","4,621","4,933","5,571","5,765","6,811","7,946","7,196","9,648","9,211","11,137","13,560","14,686","13,051","11,744","10,800","10,386","10,822","11,603","9,596","9,895","12,375","12,119","10,745","14,388","14,741","15,637","17,659","21,141","25,200","26,991","27,714","28,146","28,232","26,406","30,624","34,922","34,687","40,214","43,159","46,589","50,779","51,726","55,569","56,512","64,191","64,957","66,332","67,377","67,590","65,395","64,326","77,070","76,013","76,978","74,256","78,453",0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,"12,958","15,109","12,519","9,061","11,040","11,610","10,733","11,854","12,546","12,244","13,634","13,830","13,093","14,093","12,040","10,525","12,087","12,088","13,343","11,832","16,983","19,705","21,374","21,945","27,745","41,503","32,797","47,251","81,087","64,668","69,038","64,719","59,111","56,397","106,332","47,420","48,550","54,728","56,158","58,436","57,417","55,859","57,870","67,383","74,556","73,713","72,875","84,858","78,227","73,099","70,139","66,798","70,102","71,297","75,049","80,296","79,830","75,979","74,824","70,592","80,641","55,224","90,961","98,071","88,518","137,417","139,526","132,534","130,398",0,0,0,0,0,0,"87,144","74,900","47,331","29,047","74,789","132,571","69,546","135,986","137,064","115,381","83,037","68,725","70,619","70,319","91,586","89,985","94,070","106,570","126,700","173,960","177,200","300,700","288,620","283,288","146,210",0,"1,500",400,"2,000","11,000","86,384","118,576","131,700","162,300","200,900","265,900","375,900","325,000","363,200","380,100","485,100","399,787","453,820","501,288","456,475","469,719","585,460","520,198","580,259","635,026","687,621","721,636","851,205","840,258","762,174","825,630","899,147","950,715","868,678","973,277","1,039,170","1,157,896","1,126,645","1,139,657","1,076,210","1,102,646","1,031,513","1,084,309","1,090,144","1,060,363","1,008,437","1,072,879","995,642","929,958","1,012,463","877,082","1,071,914","985,461","1,163,110","1,185,386","992,225","1,126,787","1,170,961","1,190,564","1,304,256","1,258,954","1,330,423","1,418,522","1,366,335","1,411,069","1,421,739","1,598,731","1,526,704","1,517,600","1,558,597","1,539,717","1,450,000","1,537,905","1,472,067","1,460,000",0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,985,985,985,985,0,0,0,0,0,0,0,0,0,0,0,125,94,238,225,195,86,101,39,10,20,10,20,20,50,40,20,0,10,10,0,0,0,10,200,200,200,300,300,300,100,0,0,0,0,100,0,52,50,70,70,61,87,99,86,98,"1,830","2,138","1,203","38,893","25,779",613,230,274,422,280,270,250,320,352,468,700,496,929,"1,395","3,787","5,428","7,655","5,424","4,959","4,222","3,967","3,957","4,025","4,664","6,984","6,287","7,215","10,718","30,460","24,351","13,315","16,027","19,836","19,255","17,596","10,843","19,784","17,348","16,600","16,767","14,273","20,774","15,767","17,475",0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,885","3,241","2,586","2,616","2,490","2,631","2,576","2,009","1,980","1,920","2,150","2,190","2,430","2,190","2,610","2,290","3,010","3,370","2,640",40,"2,100","3,300","2,800","2,500","1,800","2,400","2,800","2,200","1,900","2,300","2,600","2,700","2,600","2,500","1,800","2,700","3,170","3,270","3,610","3,980","4,380","3,910","5,022","4,700","4,713","4,879","5,101","5,983","7,896","5,862","6,289","7,598","8,364","9,174","10,803","10,459","11,537","9,909","10,037","11,938","12,021","13,174","13,110","7,535","13,830","14,605","15,079","12,949","14,521","18,350","16,156","26,597","29,224","31,625","41,310","43,507","48,172","52,131","55,690","64,812","51,362","57,178","72,385","48,995","62,386","70,817","70,598","72,048","76,137","77,860","84,266","117,819","115,980","114,277",0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,400","9,400","9,400","9,400","9,400","8,900","10,000","8,800","9,000","9,300","9,200","9,200","9,300","9,100","9,100","9,300","9,000","9,200","9,200","9,063","9,263","9,263","9,163","8,963","11,180","10,500","10,270","9,450","9,950","12,290","10,510","12,230","12,020","9,600","8,050","11,560","3,550","2,540","20,120","11,850","12,560","14,690","10,010","12,530","14,874","16,081","14,252","14,286","14,715","14,100","11,973","9,461","7,760","8,010","9,180","9,680","11,170","10,490","11,710","8,950","4,360","2,180","1,960",0,0,"5,100","7,400","10,700","5,500","5,400","6,500","5,900","7,000","10,100","12,500","16,300","17,000","16,600","18,700","22,600","27,257","26,890","27,486","30,730","36,398","38,380","60,453","82,015","105,270","115,592","90,190","108,907","113,703","129,757","133,063","142,018","155,048","160,426","158,995","173,088","176,767","195,383","194,189","215,093","214,825","213,436","208,738","210,312","211,965","208,848","224,589","243,249","191,510","232,247","188,308","211,002","189,470","199,896","277,200","201,365","244,920","281,686","325,884","318,844","372,021","314,112","342,598","356,705","360,901","363,833","382,905","381,056","372,258","409,702","447,891","380,000","447,128","420,115","420,000",0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","2,940","3,050","3,220","3,070","3,070","3,070","3,070","3,070","3,070","4,500","2,860","1,950","2,440","3,520","3,652","4,204","5,119","5,234","5,852","6,500","6,707","4,384","3,060","4,050","4,550","4,880","5,580","6,550",69,27,21,"3,300","4,890","3,840","6,390","7,900","7,600","10,100","7,000","7,700","8,800","11,400","12,600","15,200","17,900","14,400","20,900","21,400","24,300","26,600","27,483","29,498","28,416","33,571","32,046","31,723","37,099","43,346","43,271","49,234","53,082","65,583","50,938","59,729","68,217","65,976","80,932","71,111","77,496","76,678","73,800","80,536","88,669","90,807","91,399","94,872","97,151","102,396","112,350","106,779","100,993","103,730","102,674","135,967","87,376","114,387","106,027","112,107","121,445","119,168","133,596","149,573","155,999","124,471","128,660","163,735","142,321","145,653","148,520","145,167","189,539","200,189","205,057","155,868","137,844","218,368","216,599","207,448","210,000",0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125,956","124,656","123,426","122,196","120,999","119,802","118,604","114,074","111,877","109,980","107,960","107,550","107,210","111,010","116,731","90,187","122,083","141,817","128,523","25,952","131,200","147,764","196,952","110,893","206,300","63,550","128,520","142,330","154,830","168,360","136,090","144,650","168,170","125,430","105,180","80,050","114,450","94,530","137,530","144,910","134,680","114,000","107,770","140,680","145,495","145,497","120,569","123,844","116,958","116,424","115,689","119,919","137,790","114,390","86,870","81,270","92,820","95,740","99,440","97,650","109,730","104,850","98,660","54,610","80,350","129,200","85,800","92,300","83,000","95,100","98,900","97,500","96,400","104,200","106,100","113,800","136,300","139,400","117,300","124,000","128,117","140,318","152,648","144,762","155,068","158,362","164,528","168,537","178,666","189,270","196,163","210,063","241,456","229,244","215,340","203,514","203,853","207,258","214,226","232,731","270,616","264,297","221,267","226,121","233,540","212,372","217,107","192,745","195,297","182,840","179,271","171,316","175,664","174,635","187,372","184,773","184,624","187,653","188,553","180,859","186,331","183,368","183,261","179,468","180,087","175,351","185,869","183,300","189,198","192,161","188,073","188,318","182,812","188,101","187,600","184,885","186,201","177,657",0,0,0,0,0,0,0,0,0,0,0,0
